date,open,high,low,close,adj close,volume,symbol
20180102,176.399002,184.100006,175.699997,183.649994,183.649994,29916900,2
20180102,42.540001,43.075001,42.314999,43.064999,40.888062,102223600,1
20180102,20.799999,21.474001,20.733334,21.368668,21.368668,65283000,4
20180102,107.629997,108.019997,106.809998,107.949997,91.977715,13578800,3
20180103,185.190002,185.634995,181.399994,184,184,20121900,2
20180103,43.1325,43.637501,42.990002,43.057499,40.880947,118071600,1
20180103,21.4,21.683332,21.036667,21.15,21.15,67822500,4
20180103,107.860001,108.489998,107.480003,108.059998,92.071449,11901000,3
20180104,185.899994,187.746994,184.429993,185.710007,185.710007,19473800,2
20180104,43.134998,43.3675,43.02,43.2575,41.070835,89738400,1
20180104,20.858,21.236668,20.378668,20.974667,20.974667,149194500,4
20180104,108.360001,110.029999,108.199997,109.040001,93.390419,12953700,3
20180105,187.169998,190.75,186.300995,190.699997,190.699997,18168300,2
20180105,43.360001,43.842499,43.262501,43.75,41.538445,94640000,1
20180105,21.108,21.149332,20.799999,21.105333,21.105333,68868000,4
20180105,109.260002,109.550003,107.779999,108.339996,92.790916,14155000,3
20180108,190.460007,191.660004,189.070007,190.330002,190.330002,16230100,2
20180108,43.587502,43.9025,43.482498,43.587502,41.384159,82271200,1
20180108,21.066668,22.468,21.033333,22.427334,22.427334,147891000,4
20180108,108.150002,108.68,107.699997,108.5,92.927956,12466500,3
20180109,191.130005,192.490005,188,190.800003,190.800003,19495100,2
20180109,43.637501,43.764999,43.352501,43.5825,41.379406,86336000,1
20180109,22.344,22.586666,21.826668,22.246,22.246,107199000,4
20180109,108.720001,109.629997,108.489998,109.050003,93.399033,13292300,3
20180110,188.100006,190.389999,186.580002,189.789993,189.789993,17943800,2
20180110,43.290001,43.575001,43.25,43.572498,41.369915,95839600,1
20180110,22.146667,22.466667,22,22.32,22.32,64648500,4
20180110,109.470001,110.699997,109.389999,110.25,94.426758,15834500,3
20180111,189.729996,190.429993,188.100006,188.75,188.75,12400400,2
20180111,43.647499,43.872501,43.622501,43.82,41.604904,74670800,1
20180111,22.349333,22.987333,22.217333,22.530001,22.530001,99682500,4
20180111,110.669998,110.93,110.050003,110.839996,94.932083,13676800,3
20180112,189.910004,190.199997,187.25,187.789993,187.789993,11789600,2
20180112,44.044998,44.34,43.912498,44.272499,42.034519,101672400,1
